TransactionID,Items
1,"milk, cheese, bananas, bread"
2,"eggs, diapers, onions, beer"
3,"tea, bread, milk, beer, apples, diapers, cheese"
4,"milk, onions, apples, tea, bananas, pasta, yogurt, bread"
5,"milk, butter, tea, juice, cheese, bread"
6,"apples, juice, diapers, beer"
7,"diapers, chocolate, chips, cheese, bread, onions"
8,"onions, diapers, coffee, beer, yogurt, tea"
9,"soda, chocolate, apples, beer, bread, juice, diapers, coffee"
10,"beer, bananas, diapers, coffee, cheese"
11,"chocolate, butter, soda, onions, apples, juice"
12,"beer, butter, onions, bananas, chips, diapers"
13,"coffee, cheese, onions, bananas, juice, tea"
14,"bananas, bread, juice"
15,"cheese, beer, apples, juice, onions, tomatoes, diapers"
16,"coffee, rice, eggs, cheese, onions, diapers"
17,"onions, soda, cheese, tea, coffee, butter, diapers, beer"
18,"pasta, beer, bread, diapers, eggs, juice, chips"
19,"tea, beer, coffee, onions, rice, cheese, eggs, pasta, diapers"
20,"diapers, onions, cheese"
21,"juice, diapers, yogurt, tea, butter, bananas, milk, chocolate, bread"
22,"cheese, tomatoes, butter, chips, diapers, tea, juice, eggs"
23,"tomatoes, apples, eggs, chocolate, butter, cheese, coffee, rice"
24,"soda, juice, pasta"
25,"diapers, chocolate, yogurt"
26,"bread, bananas, beer, onions, diapers"
27,"pasta, beer, onions, eggs, tomatoes, juice, bananas, cheese, diapers"
28,"cheese, tomatoes, tea, apples"
29,"apples, yogurt, coffee, chocolate, rice, pasta, cheese"
30,"diapers, bananas, chips, beer, juice, milk, bread"
31,"onions, bananas, chips, milk, beer, chocolate, juice, bread, diapers"
32,"bananas, beer, bread, diapers"
33,"beer, tomatoes, bananas, cheese, pasta, diapers"
34,"onions, eggs, pasta, bananas"
35,"tea, apples, diapers, onions, soda, butter"
36,"tea, rice, bread, diapers, onions, apples"
37,"juice, diapers, bananas, apples, tomatoes, cheese, onions, beer"
38,"butter, cheese, rice, bananas, beer, tomatoes, diapers"
39,"diapers, bread, onions, milk, beer, rice, coffee"
40,"butter, tea, pasta, onions"
